"tb11id","uid","sid","dobMonth","dobDay","dobYear","dobSum","age","gender","edu","natEng","firLan","ageEng","hisLat","race","lc1","lc2","lc3","lc4","lc5","lc6","lc7","lc8","lc9","lc10","lcOneScore","lcOneRT","lc11","lc12","lc13","lc14","lc15","lc16","lc17","lc18","lc19","lc20","lcTwoScore","lcTwoRT","voc1","voc2","voc3","voc4","voc5","voc6","voc7","voc8","voc9","voc10","voc11","voc12","voc13","voc14","voc15","vocScore"
"1","1","A3JI3B5GTVA95F","2","14","1991","2/14/1991","24","1","12","1",,,"0","5","S","S","D","D","D","S","S","D","S","D","9.0","36","D","S","S","S","D","S","D","S","D","D","10.0","40","1","2","2","4","1","3","1","5","6","6","6","4","6","6","6","7.8"
"2","2","AEMVJDGAX3GJF","9","27","1986","9/27/1986","28","1","14","1",,,"0","6",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"3","3","A3R25SV8HUGML2","01","01","1991","01/01/1991","24","1","16","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"4","4","A33QI63NVR8CUO","08","26","1985","08/26/1985","30","2","16","1","English","1","0","5","D","D","D","D","D","S","S","D","S","D","9.0","42","D","S","S","S","D","S","D","S","D","D","10.0","61","1","2","1","4","6","3","6","5","2","6","1","2","6","1","6","2.8"
"5","5","A2O5OJXCUFQ3FV","2","2","1990","2/2/1990","25","2","14","1",,"1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"6","6","A19TL7AJ0FB1JG","02","15","1990","02/15/1990","25","2","12","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"7","7","A3V70AZ39FPZ5V","4","10","1996","4/10/1996","19","2","13","0","Mandarin","5","0","2",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"8","8","A2KITNCSG5SI5F","07","04","1987","07/04/1987","28","1","16","1",,,"0","5","D","D","D","S","D","S","S","D","S","D","8.0","25","D","S","S","S","D","S","D","S","D","S","9.0","23","1","2","2","4","1","3","1","1","3","1","3","4","1","3","5","12.6"
"9","9","A2LU259QPV1I4V","06","08","1988","06/08/1988","27","1","12.5","1","English","1","1","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"10","11","A21QMMJHOSG779","07","30","1984","07/30/1984","31","1","13","1","English","1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"11","13","A1DU31H88K9ZTP","1","26","1991","1/26/1991","24","2","16","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"12","12","A11S8IAAVDXCUS","2","11","1990","2/11/1990","25","2","14","1",,"1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"13","14","A361EVMLK9O0G1","07","13","1983","07/13/1983","32","1","16","1",,,"0","5","S","D","D","D","D","S","S","D","S","D","10.0","30","D","S","S","S","D","S","D","S","D","D","10.0","35","1","2","2","4","1","3","1","1","6","6","6","6","6","6","6","8.0"
"14","16","A3KSOAD08L2DGK","11","26","1972","11/26/1972","42","2","16","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"15","15","A2P44QU8NYNKGR","08","14","1993","08/14/1993","22","1","13.5","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"16","17","A2O5OJXCUFQ3FV","2","4","1990","2/4/1990","25","2","14","1","english","1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"17","18","A14WLAP6TCEKO0","5","11","1984","5/11/1984","31","1","16","1",,,"0","4","S","D","D","D","D","S","S","D","S","D","10.0","55","D","S","S","S","D","S","D","S","D","D","10.0","51","4","3","1","4","4","5","3","2","6","6","4","4","5","2","2","-0.2"
"18","19","A2IZV60GJFB7IB","3","20","1983","3/20/1983","32","2","16","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"19","20","A2K0EJWS4JV52T","9","1","1978","9/1/1978","36","2","16","1",,,"0","5","S","D","D","D","D","S","S","D","S","D","10.0","46","D","S","S","S","D","S","D","S","D","D","10.0","43","1","2","6","4","1","3","1","1","6","6","6","4","6","6","6","8.0"
"20","21","A3LDNYF163XZI6","03","21","1990","03/21/1990","25","1","16","1",,,"0","4",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"21","22","A37S72JHDSZJY9","07","23","1992","07/23/1992","23","2","16","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"22","23","A90JBLDKW71DX","05","02","1993","05/02/1993","22","2","14","1",,"1","0","5","S","D","D","D","D","D","S","D","S","D","9.0","46","D","S","S","S","D","S","D","S","S","D","9.0","30","1","2","1","1","1","3","1","1","6","5","6","2","6","6","6","6.4"
"23","24","A9L9G563HS81X","06","02","1991","06/02/1991","24","1","16","1",,,"0","5","D","S","S","D","D","D","S","D","D","D","5.0","8","D","S","D","D","D","S","S","D","S","D","5.0","4","4","2","2","5","6","2","2","3","2","2","6","5","6","6","6","0.4"
"24","25","A2RYN1S6OSO9KX","04","05","1987","04/05/1987","28","1","12","1",,,"1","1","S","D","D","D","D","S","S","D","S","D","10.0","46","D","S","S","S","D","S","D","D","D","D","9.0","43","1","2","3","4","1","5","1","4","2","2","2","4","1","2","4","5.4"
"25","26","A2O5OJXCUFQ3FV","2","8","1990","2/8/1990","25","2","14","1","English","1","0","5","D","D","S","D","D","D","D","S","D","D","4.0","13","D","S","S","S","D","S","D","S","D","S","9.0","34","1","2","2","4","2","3","1","6","6","6","3","2","5","6","6","6.4"
"26","27","A14W0AXTJ3R19V","10","01","1990","10/01/1990","25","2","16","1","english","1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"27","28","A19C4VNUIIRCPD","6","6","1987","6/6/1987","28","2","18","1",,,"0","5","S","D","D","D","D","S","D","D","S","D","9.0","58","D","S","S","D","D","D","D","S","D","D","8.0","26","1","2","2","4","1","3","5","1","2","3","1","4","1","3","4","9.0"
"28","30","A2E0FOTFTVWZ7T","5","22","1991","5/22/1991","24","2","17","1",,,"0","5","S","S","D","D","D","S","S","S","S","D","8.0","24","D","S","S","S","D","S","D","S","D","S","9.0","31","1","2","2","4","5","5","1","1","6","6","1","2","6","6","6","5.2"
"29","29","A35P8YSNTQ7OTP","12","20","1971","12/20/1971","43","1","13","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"30","31","A1I7XL4VK40KOD","03","24","1979","03/24/1979","36","1","16","1",,,"0","5","S","D","D","D","D","S","S","D","S","D","10.0","42","D","S","S","S","D","S","D","S","D","D","10.0","46","1","2","5","1","5","6","1","1","2","6","1","1","1","6","6","3.8"
"31","32","AU2C0Q45DVGJO","4","19","1979","4/19/1979","36","2","12","1","English","1","0","4",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"32","33","A2H1QUGX0SOUMH","10","10","1950","10/10/1950","64","1","18","1",,"1","0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"33","34","AS1QMPXIT1EGX","07","02","1979","07/02/1979","36","2","14","1",,,"0","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"34","36","A3E9A9O3CLMEW","09","12","1978","09/12/1978","36","1","15","1","english","1","1","5",,,,,,,,,,,"0.0","0",,,,,,,,,,,"0.0","0",,,,,,,,,,,,,,,,"0.0"
"35","37","A3NGG3QTB0WINC","10","11","1974","10/11/1974","40","1","18","1",,,"0","5","D","D","D","D","D","S","S","D","S","D","9.0","43","D","S","S","S","D","S","D","S","D","D","10.0","54","1","2","2","4","1","3","1","1","5","6","2","4","1","6","5","10.6"
