tb17id,uid,sid,topID,quesID,quesAns
1,1,A3JI3B5GTVA95F,2,prac_k1,"Male apes are twice the size of females. Gorillas can weigh up to 440 pounds. Chimpanzees and humans share 99% of the same DNA, and are more closely related than chimpanzees are to gorillas. Cats have retractable claws, and also fur padding on their legs in order to move quietly. Horses, zebras, and donkeys are all equids, and live in different areas."
2,4,A33QI63NVR8CUO,2,prac_k1,I had learned that cats are excellent hunters and their bodies are made for hunting and for their environment. Cats are also excellent meat eaters.There fur is meant to camouflage in the grass so they can hunt for their prey. There paws are also made specially for hunting as well. They have sharp claws and fur that covers them so they can keep quiet.
3,6,A19TL7AJ0FB1JG,2,prac_k1,"Animals have a lot of the same qualities that humans do. They are very intelligent, although we cannot understand them verbally in most cases.Gorillas are most similar to humans, in that we share some dna with chimpanzees. We have a natural connection to all animals, and it is in our best interest to be advocates for each species before any more are considered endangered."
4,11,A21QMMJHOSG779,2,prac_k1,To tell you the truth I did not learn much. I paid attention in school so I remember a lot of that stuff. But animals have different kingdoms and they belong to differnet parts of the animal kingdom 
5,14,A361EVMLK9O0G1,2,prac_k1,"Big cats are native to all continents except Australia and Antarctica. Cats have loose skin to prevent attackers from getting a good gras p on them. Apes are the smartest non human animals on the planet, they can solve problems, but lack the ability to speak human words. Wild horses have been around for over 6000 years and were tamed by humans"
6,18,A14WLAP6TCEKO0,2,prac_k1,"Animals are varied creatures that range from large predatory cats to great apes, some of our closest relatives. Animals live on every continent in the world, and they have evolved to best suit the environment they live in. Animals are some of our closest relatives. Great apes like the chimpanzee shares 99 percent of its DAN with humans. Indeed, animals are fascinating creatures."
7,19,A2IZV60GJFB7IB,2,prac_k1,"I learned about different things animals can do and things that they do. I learned about cats and how they naturally survive in the wild. I also learned about how they adapt to things. I learned things that they eat and stuff like that. I learned a lot about animals, actually. I learned things that I did not even know."
8,20,A2K0EJWS4JV52T,2,prac_k1,"Horses almost became extinct due to climate change. Zebras, wild and domestic horses and asses all belong to the same group. Asses live in hot areas, zebras on grasslands. There are four types of monkeys - apes, gorillas, baboons, and chimpanzees. Gorilla babies weigh half the weight of a human baby at birth but can grow up to over 400 pounds. Cats are native to all continents except Australia and Antarctica."
9,23,A90JBLDKW71DX,2,prac_k1,Cats are on every continent except Antarctica and Australia. Cats have long nails that can be retracted back into their paw pads. Cats ears can also rotate around in all directions to be able to hear noises that other animals or humans would not normally be able to pick up. There are 38 different species of cats in the world.
10,24,A9L9G563HS81X,2,prac_k1,Cats have large claws and use them to hunt down their prey in novel ways not seen in other species of animals that also hae claws. Cats are interesting creatures that I wish I knew more about but unfortunately there is no way for me to know more about them without reading.  I do not go to zoos or read about cats much.
