tb18id,uid,sid,topID,quesID,quesAns
1,1,A3JI3B5GTVA95F,2,prac_k2,Cats have retractable claws. There are less wild horses than there were before.
2,4,A33QI63NVR8CUO,2,prac_k2,I feel that cats are one of the best predators out in nature. They are very agile creatures and makes excellent hunters.
3,14,A361EVMLK9O0G1,2,prac_k2,"locations
characteristics
traits
habits
"
4,18,A14WLAP6TCEKO0,2,prac_k2,"Great Apes are some of humans closest relatives.
Big cats have evolved to be efficient hunters.
Wild horse nearly went extinct due to climate change."
5,19,A2IZV60GJFB7IB,2,prac_k2,I dont remember any ideas
6,20,A2K0EJWS4JV52T,2,prac_k2,"Wild Horses almost became extinct. There are four types - wild horses, domestic horses, asses, and zebras. They all adapted to different environments. Big Cats include housecats, jaguars, cheetahs and are indigenous to every continent except Antarctica and Australia. Great apes include apes, baboons, chimpanzees, and gorillas."
7,22,A37S72JHDSZJY9,2,prac_k2,Cats can communicate with their bodies. Animals evolve depending on climates. Animals can communicate with sounds. 
8,23,A90JBLDKW71DX,2,prac_k2,"Cats have fine fur, long nails, and thick teeth. The teeth can be lethal to prey. They have nails that can be retracted when they are not in use too. There are 38 different species of cats on all continents except Australia and Antarctica. "
9,24,A9L9G563HS81X,2,prac_k2,"Feeding, prey habits, physiology"
10,25,A2RYN1S6OSO9KX,2,prac_k2,Apes have been on earth for over 20 million years. Big cats are native to every continent except Australia and Antarctica. Wild horses once ranged throughout the world. Many shapes and sizes of horses developed throughout the world because of breeding between them. Wild horses lived in Central Asia. Chimpanzees are more closely related to humans than to gorillas. Cats all belong to the Felidae family.
11,26,A2O5OJXCUFQ3FV,2,prac_k2,"We are much like monkey
horses used to be all over
cats communicate with smell"
12,27,A14W0AXTJ3R19V,2,prac_k2,n/a
13,28,A19C4VNUIIRCPD,2,prac_k2,"Zebras are cousins of hours and live mainly in Southern Africa. Great Apes are born 1/2 the size of a normal human baby, but adult males can be 440 lbs. Males are twice as large as the females to scare off predators. Wild horses roamed the earth and were on the verge of extinction. "
14,30,A2E0FOTFTVWZ7T,2,prac_k2,"Cats ears are rounded
Monkeys more related to humans
Gorilla babies half the size of human babies
Horses are almost extinct"
15,31,A1I7XL4VK40KOD,2,prac_k2,"Learning about the different types of apes and the different wild horses around the world, in different environments."
16,37,A3NGG3QTB0WINC,2,prac_k2,"Big cats: Stalk prey, claws, stealthy
Horses: nearly extinct, now wide spread, plains, dessert and Savannah

Great apes: four major species, chimps are closest to humans, very intelligent. Can learn language, but cannot vocalize. gorillas are strongest. "
17,39,http://web.engr.illinois.edu/~cchin6/textsearch1/,2,prac_k2,"I learned that there are 38 species of big cats. They are a major predator of the wild, and are carnivores. "
18,41,AKM7BAAH9OPGW,2,prac_k2,"I learned about the different climates and regions of the world that big cats are located.
I learned about the different types of wild horses and what they eat.
I learned how big apes live in the wild. "
19,45,A3GJ2E1A1H5DM7,2,prac_k2,"Apes are genetically extremely similar to humans.
Cats communicate with one another through body language."
20,47,A2MCWAOOZ5OF37,2,prac_k2,"Cats are native to every continent, except Australia and Antarctica. They are adapted to do well in cold environments."
21,51,A2FSO42T7M8MFY,2,prac_k2,ALL HORSES ARE NOT CALM AND RIDEABLE
22,54,A3GR2PCJPT0S6U,2,prac_k2,know how cats mood is by how they have their ears and move their tails
23,53,A1QOCQW43OSMD3,2,prac_k2,Apes are very intelligent. Apes are close to humans. Gorillas are large and bonobos are small. There are many types of cats (38). 
24,55,A26RO8GGTQAXGG,2,prac_k2,i just did that.
25,60,A22TE376N0MEH,2,prac_k2,Cats have sharp teeth and can run very fast. Chimpanzees have the ability to learn language but not the vocal chords to communicate it. Horses almost became extinct but humans tamed them over 6000 years ago.
26,62,A1OZPLHNIU1519,2,prac_k2,"There are 4 different types of great apes.  Chimpanzees, gorillas, bonobos, and orangutans.

Wild horses belong to the equids group which includes horses, zebras.

Big cats have retractable claws and ears that move in any direction."
27,65,A128BUMKWWS54Z,2,prac_k2,I already did this.
28,64,A2AOBW5F65D5D,2,prac_k2,"many species
they all have fur
"
29,67,A2H74STYH3PLT1,2,prac_k2,"there were wild horses everywhere before man came and domesticated them. The chimps and gorillas are led by a dominat male, while the bonobos by the dominate female. big cats can be a small as a house cat and as large as a lion"
30,73,A27JZQQ5Y1I8RL,2,prac_k2,not sure what ideas.
31,71,A8MBISMEGYCA4,2,prac_k2,I learned a lot of things. Everything on the previous page was new information to me. There is 38 different cat species. Horses were tamed 6000 years ago which is why they are so many different shapes.
32,74,A18WPTVQPM9LBH,2,prac_k2,"4 species of primates
live in 3 different continents
wild horses were plentiful 6000 years ago
climate change has made wild horses almost extint
Siberian Tigers are the largest of the cats
All cats where small or large have the same features."
33,81,A66GVEZ7BBLH,2,prac_k2,"Wild horse are tamed by people.
Horse almost extinct due to climate change.
Big cats are meat-eater. 

"
34,82,A1LR1VZBKTV4Y1,2,prac_k2,Big Cats are felidae. Wild horses are equidae.
35,78,A14HW0XMI4R2ON,2,prac_k2,"Big cats are all carnivores, they have sharp claws which are retractable for catching prey and for digging into a carcass. Big cats are the four members of the genus panthera, they have a specialized larynx and hyoid apparatus which allows them to roar. Big apes are as close to humans as possible sharing 99% of their DNA with us. Great apes inclue Bonobos, chimpanzees, gorillas and orangutans. Apes are more intelligent than monkeys, spend more time upright, have fewer young and depend more on their eyes than their noses. Wild Horses have stronger legs than domestic horses, they also have harder hooves due to different ground conditions. Wild horses travel in herds of 3 to 20 horses, there is just one stallion per herd. When a male foal is born he lives with his herd for 2 years and then leaves to join a group of other young male horses untill he is srtong enough to challange a stallion for his her or lucky enough to get a female to join him."
36,86,A1U6A617Q95MTZ,2,prac_k2,"I learned that the cat family, to which all cats belong, is called Felidae."
37,87,A167SYXGXFU7C8,2,prac_k2,"Not sure what you mean by ideas exactly...horses are almost extinct, apes share common DNA with humans, apes are very intelligent and use tools, cats have alot in common with each other(within the group)"
38,88,A3GWGTLQNHVQ2M,2,prac_k2,"I am not sure what you mean - like facts? 
I cant remember specifics- the time limit was unnerving. "
39,90,A35383F78OFV4B,2,prac_k2,"Fur.
Claws.
Survival.
Weight.
Characteristics. "
40,91,A1VJAEPNA6YARO,2,prac_k2,"Horses used to be nearly extinct until they were bred by humans, apes are intelligent beings (they can communicate and solve problems) and they have hands like humans.  The males are larger than the females to deter predators.  Cats have rounded ears in order to help them know the world around them."
41,92,A77K8W55MJEKX,2,prac_k2,All cats except lions live in group like families. The male lion hunts for the family while the lioness takes care of the cubs. Cats also have thick fur and lose skin. Cats are found in every continent except for Australia and Antartica. 
42,94,A98XHW6B1VSSQ,2,prac_k2,Big Cats have scent glands. Lions communicate through roaring. Female Lions have smaller territories then Male Lions. Male lions live on their own except at times they are mating.   
43,93,A1O67YS3DU0ZHX,2,prac_k2,"Humans have saved horses from extinction. Big cats are found on every continent in the world, naturally, except Australia and Antarctica. Great apes share more in common with our DNA than gorillas. "
44,96,A34QZDSTKZ3JO9,2,prac_k2,"Cats all have rounded ears to detect sounds.  They have padded feet to walk quietly.  Cats have loose skin to escape predators.
Wild horses have been used by humans for 6000 years.
Male apes are usually too big to live in trees, though they will climb for fruit.  Chimpanzees are the smallest apes."
45,98,A3UOH4UMWWV216,2,prac_k2,great ideas
46,99,A224B7BAQ0MZSN,2,prac_k2,"Big cats are meat eaters, have sharp claws and teeth, have loose skin to prevent it from being grabbed, have fine two-layered fur that insulates them from cold, have rounded ears for acute hearing, are good at jumping and swimming, and have long tails.  Wild horses are related to zebras, asses, and domestic horses; they were once all over the world but were almost wiped out by climate change and now live in central Asia and south Africa, and they have been tamed by humans for 6000 years.  Great apes share 99% of their genes with humans, are divided into four categories (orangutans, gorillas, chimpanzees, and bonobos), have adaptable hands and feet for climbing, live in groups, are very intelligent, can communicate by sound but not speak, and can use tools."
47,102,A2C39KTRMOM1XZ,2,prac_k2,wild horses are going extinct Gorillas are huge big cats are lethal
48,106,ATADQXPHL10Y8,2,prac_k2,i did not learn any ideas. i only learned facts about the animals.
49,109,A1AVB030QDFWCE,2,prac_k2,"Zebras are wild horse
four types of apes
big cats have rounded ears"
50,104,AR4DJB62YRYF3,2,prac_k2,"I learned that great apes are very close to humans and the studies have shown how  closely related we are.

"
51,108,A2L9O81ACCOLMX,2,prac_k2,"Cats usually live alone, except lions that live with family. Most cats do not live alone as there is not enough food to feed them all. They each have their own territory."
52,107,A1U4BGCXUPH8Z2,2,prac_k2,"Cats have fine fur, acute senses, powerful agile bodies, sharp claws and lethal teeth. They are native all over the world with the exceptions of Antarctica and Australia. There are 38 species of cats which include lions, tigers, leopards, snow leopards and jaguars. Cats are very specialized meat eaters. They are experts at running, climbing, swimming, and jumping."
53,110,A2Q1JUSJ9THUDZ,2,prac_k2,"Wild horses have been around for a very long time.  They became domesticated about 6000 years or so ago.  Horses, asses, wild horses, as well as zebras are all in the same family.  There are not very many wild horses left in this world.  Horses come in many shapes and sizes."
54,114,A2698HJZM7SE4C,2,prac_k2,"Big cats are predators, wild horses have strong muscles and Great apes have superior learning abilities."
55,116,AK0Y6OITL7VGX,2,prac_k2,38 species
56,121,A3BHRFFG75X3GO,2,prac_k2,"cats live alone and hunt alone and come together when mating. The only exception is lions which live in groups.
The family of cats is called Felidae.
Cats communicate using scent. Their scent comes off when they rub up against something and their scent is in their urine and their sweat glands.
A cats claws retract so they are protected while running.
Cats have two coats of fur. The undercoat and the guard coat. The coats insulate them, and the guard coat is sensitive and allows the cat to feel and also protects them.
Cats have loose skin so that predators cannot get a good grip on them.
Cats come in a wide range of sizes, from domesticated cats to siberian tigers."
57,125,A2WYXS94418JXA,2,prac_k2,"almost extinct
38 species
two layers of skin
color to help them adapt
related to humans
male apes are 2x the size of female apes
apes weigh half as much as a human when born
"
58,131,A2AW0DEZLCZ23N,2,prac_k2,"Cats can swim.
Tiger, leopard and jaguar are a kind of cats.
The cats has two layers of fur.
There are 38 different kinds of cats."
59,132,A37N5X89RE99B0,2,prac_k2,"Cats are very resourceful animals and have many attributes to help them survive in nature.
The great apes are a very smart class of animals that are more related to humans than we sometimes know.
Wild horses come in many shapes and sizes."
60,136,A32ZPYIWFEUCDX,2,prac_k2,"Apes: Gorilla = largest
Bonobos & chimps = smallest
Gorillas can reach 440 pounds
Baby gorillas weigh less than 1/2 what human babies weigh.
Chimps are more closely related to humans than they are gorillas. 
Chimps can learn languages but their vocal cords cannot make human sounds.

Horses have great diversity today because of human breeding.
Horses and Zebras are related.
Horses have been around for several million years.
Horses are related to asses.

Cats fur colors are actually camouflage so they can hunt.
Cats fangs are lethal.
The cat has evolved in to highly skilled hunters.
Cats have two fur types."
61,138,A3VPD34C23PQTQ,2,prac_k2,They have fur and paws 
62,140,A3S5QDW6OU35NH,2,prac_k2,"big cats have retractable claws
rounded ears to enhance hearing
furry paws to keep silent

apes are born half the size of humans
adult apes are over twice the size of human adults
male apes are too heavy to live in trees

wild horses roamed grasslands
horses were domesticated some 6000 years ago
all horses, asses, zebras, domestic horses, belong to the family equine. "
63,143,A8KX1HFH8NE2Q,2,prac_k2,"(1) Cats have round ears in order to hear their prey
(2) Cats have evolved over the years
(3) There are four types of apes (i.e., gorilla, chimpanzee, etc)
(4) The male gorilla is twice as large as the female in order to scare predators away
(5) Horses almost became extinct as a result of climate change
(6) There are four families of horses known as equids
(7) Horses use to be wild but have now become domesticated"
64,144,A179EXKWCPDVJY,2,prac_k2,The ideas I learned from Big Cats was these creatures are highly versatile and adaptable. They are amazing animals that deserved to be protected by mankind. All hunting of the Big Cats should be halted all around the world.
65,146,A2TXWYY91LRGJG,2,prac_k2,"The topic covered three topics ,wild horses, apes and cats. 
It described various characteristic of cat, apes and Horses. 
Chimpanzees,Gorillas, baboons and one more species were described in the article. 99 % of human characteristics is of chimpanzee ,Chimpanzees are very intelligent and can use tools, performs functions, communicate but their vocal cord can not produce fine voice. Horses were tames by humans since 6000 years ago. "
