uid,sid,topIDorder,subtopIDorder,conIDorder,taskDone,conDone,signedConsent,signedDate
1,A3JI3B5GTVA95F,01#,,1#2#3#1#2#3#1#2#3#1#2#3#,0,3,TRUE,9/4/15 11:37
2,AEMVJDGAX3GJF,,,,0,0,TRUE,9/4/15 11:40
3,A3R25SV8HUGML2,,,,0,0,TRUE,9/4/15 11:42
4,A33QI63NVR8CUO,01#,,1#3#2#1#3#2#1#3#2#1#3#2#,0,2,TRUE,9/4/15 11:45
5,A2O5OJXCUFQ3FV,,,,0,0,TRUE,9/4/15 11:55
6,A19TL7AJ0FB1JG,,,,0,0,TRUE,9/4/15 11:55
7,A3V70AZ39FPZ5V,,,,0,0,TRUE,9/4/15 12:19
8,A2KITNCSG5SI5F,01#,,2#3#1#2#3#1#2#3#1#2#3#1#,0,3,TRUE,9/4/15 12:20
9,A2LU259QPV1I4V,,,,0,0,TRUE,9/4/15 12:20
10,A5EU1AQJNC7F2,,,,0,0,TRUE,9/4/15 12:23
11,A21QMMJHOSG779,01#,,2#1#3#2#1#3#2#1#3#2#1#3#,0,0,TRUE,9/4/15 12:24
12,A11S8IAAVDXCUS,,,,0,0,TRUE,9/4/15 12:27
13,A1DU31H88K9ZTP,,,,0,0,TRUE,9/4/15 12:27
14,A361EVMLK9O0G1,01#,,2#3#1#2#3#1#2#3#1#2#3#1#,0,3,TRUE,9/4/15 12:33
15,A2P44QU8NYNKGR,,,,0,0,TRUE,9/4/15 12:44
16,A3KSOAD08L2DGK,,,,0,0,TRUE,9/4/15 12:44
17,A2O5OJXCUFQ3FV,,,,0,0,TRUE,9/4/15 12:58
18,A14WLAP6TCEKO0,01#,,3#2#1#3#2#1#3#2#1#3#2#1#,0,3,TRUE,9/4/15 13:07
19,A2IZV60GJFB7IB,01#,,1#2#3#1#2#3#1#2#3#1#2#3#,0,0,TRUE,9/4/15 13:17
20,A2K0EJWS4JV52T,01#,,2#3#1#2#3#1#2#3#1#2#3#1#,0,3,TRUE,9/4/15 13:24
21,A3LDNYF163XZI6,,,,0,0,TRUE,9/4/15 13:30
22,A37S72JHDSZJY9,01#,,1#3#2#1#3#2#1#3#2#1#3#2#,0,0,TRUE,9/4/15 13:31
23,A90JBLDKW71DX,01#,,2#1#3#2#1#3#2#1#3#2#1#3#,0,1,TRUE,9/4/15 13:34
24,A9L9G563HS81X,01#,,3#2#1#3#2#1#3#2#1#3#2#1#,0,2,TRUE,9/4/15 13:40
