tb5id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1,1,A3JI3B5GTVA95F,1,101,1,101101,1,80,100,100,,77
2,1,A3JI3B5GTVA95F,1,101,1,101102,2,43,67,80,,201
3,1,A3JI3B5GTVA95F,1,102,2,102201,1,94,71,71,,76
4,1,A3JI3B5GTVA95F,1,102,2,102202,2,75,96,96,,79
5,1,A3JI3B5GTVA95F,1,103,3,103301,1,62,100,100,,131
6,4,A33QI63NVR8CUO,1,103,1,103101,1,0,100,77,,52
7,1,A3JI3B5GTVA95F,1,103,3,103302,2,77,72,79,,25
8,4,A33QI63NVR8CUO,1,103,1,103102,2,54,100,81,,85
9,4,A33QI63NVR8CUO,1,103,1,103103,3,57,100,100,,43
10,4,A33QI63NVR8CUO,1,103,1,103104,4,56,100,78,,83
11,4,A33QI63NVR8CUO,1,103,1,103105,5,100,100,100,,48
12,4,A33QI63NVR8CUO,1,103,1,103106,6,0,100,100,,42
13,4,A33QI63NVR8CUO,1,101,3,101301,1,100,99,100,,98
14,4,A33QI63NVR8CUO,1,101,3,101302,2,100,100,100,,69
15,4,A33QI63NVR8CUO,1,101,3,101303,3,100,100,100,,58
16,11,A21QMMJHOSG779,1,101,2,101201,1,79,0,0,,0
17,8,A2KITNCSG5SI5F,1,102,2,102201,1,77,73,75,,136
18,8,A2KITNCSG5SI5F,1,102,2,102202,2,76,85,65,,36
19,8,A2KITNCSG5SI5F,1,102,2,102203,3,89,73,70,,45
20,8,A2KITNCSG5SI5F,1,102,2,102204,4,78,75,92,,33
21,8,A2KITNCSG5SI5F,1,102,2,102205,5,90,61,78,,37
22,8,A2KITNCSG5SI5F,1,102,2,102206,6,84,86,84,,39
23,8,A2KITNCSG5SI5F,1,101,3,101301,1,86,96,94,,34
24,8,A2KITNCSG5SI5F,1,101,3,101302,2,80,85,95,,31
25,8,A2KITNCSG5SI5F,1,101,3,101303,3,92,84,90,,33
26,8,A2KITNCSG5SI5F,1,101,3,101304,4,87,24,16,,29
27,8,A2KITNCSG5SI5F,1,101,3,101305,5,100,0,0,,13
28,8,A2KITNCSG5SI5F,1,101,3,101306,6,99,6,8,,21
29,14,A361EVMLK9O0G1,1,101,2,101201,1,74,62,83,,35
30,14,A361EVMLK9O0G1,1,102,3,102301,1,89,72,51,,20
31,8,A2KITNCSG5SI5F,1,103,1,103101,1,79,95,94,,38
32,14,A361EVMLK9O0G1,1,102,3,102302,2,83,77,75,,9
33,14,A361EVMLK9O0G1,1,103,1,103101,1,86,74,77,,21
34,8,A2KITNCSG5SI5F,1,103,1,103102,2,80,90,92,,37
35,8,A2KITNCSG5SI5F,1,103,1,103103,3,85,89,93,,30
36,18,A14WLAP6TCEKO0,1,101,3,101301,1,61,37,69,,90
37,18,A14WLAP6TCEKO0,1,101,3,101302,2,38,17,25,,26
38,18,A14WLAP6TCEKO0,1,102,2,102201,1,89,73,80,,83
39,18,A14WLAP6TCEKO0,1,102,2,102202,2,82,32,41,,110
40,18,A14WLAP6TCEKO0,1,103,1,103101,1,64,40,77,,216
41,18,A14WLAP6TCEKO0,1,103,1,103102,2,60,29,63,,94
42,20,A2K0EJWS4JV52T,1,102,2,102201,1,100,99,100,,60
43,20,A2K0EJWS4JV52T,1,102,2,102202,2,100,79,75,,50
44,20,A2K0EJWS4JV52T,1,102,2,102203,3,72,67,73,,45
45,20,A2K0EJWS4JV52T,1,102,2,102204,4,100,100,100,,60
46,20,A2K0EJWS4JV52T,1,102,2,102205,5,89,88,100,,39
47,20,A2K0EJWS4JV52T,1,102,2,102206,6,100,100,100,,36
48,20,A2K0EJWS4JV52T,1,101,3,101301,1,80,100,100,,46
49,20,A2K0EJWS4JV52T,1,101,3,101302,2,100,0,0,,15
50,20,A2K0EJWS4JV52T,1,101,3,101303,3,100,9,8,,29
51,20,A2K0EJWS4JV52T,1,101,3,101304,4,100,4,5,,120
52,20,A2K0EJWS4JV52T,1,101,3,101305,5,100,0,1,,3
53,20,A2K0EJWS4JV52T,1,103,1,103101,1,7,100,17,,45
54,20,A2K0EJWS4JV52T,1,103,1,103102,2,23,89,27,,40
55,23,A90JBLDKW71DX,1,103,2,103201,1,13,100,100,,369
56,23,A90JBLDKW71DX,1,103,2,103202,2,47,74,95,,159
57,23,A90JBLDKW71DX,1,103,2,103203,3,31,100,100,,68
58,23,A90JBLDKW71DX,1,103,2,103204,4,0,47,0,,4
59,24,A9L9G563HS81X,1,102,3,102301,1,23,60,44,,605
60,25,A2RYN1S6OSO9KX,1,101,1,101101,1,0,100,100,,77
61,25,A2RYN1S6OSO9KX,1,103,2,103201,1,0,100,100,,76
62,25,A2RYN1S6OSO9KX,1,102,3,102301,1,0,83,76,,104
63,25,A2RYN1S6OSO9KX,1,102,3,102302,2,0,29,17,,47
64,26,A2O5OJXCUFQ3FV,1,102,2,102201,1,48,70,54,,109
65,26,A2O5OJXCUFQ3FV,1,102,2,102202,2,19,21,21,,3
66,26,A2O5OJXCUFQ3FV,1,101,3,101301,1,30,87,54,,45
67,26,A2O5OJXCUFQ3FV,1,101,3,101302,2,30,90,67,,62
68,26,A2O5OJXCUFQ3FV,1,101,3,101303,3,20,81,76,,105
69,26,A2O5OJXCUFQ3FV,1,101,3,101304,4,39,64,63,,70
70,26,A2O5OJXCUFQ3FV,1,101,3,101305,5,31,70,66,,97
71,26,A2O5OJXCUFQ3FV,1,101,3,101306,6,58,59,63,,101
72,28,A19C4VNUIIRCPD,1,101,1,101101,1,78,100,100,,61
73,30,A2E0FOTFTVWZ7T,1,103,3,103301,1,90,90,88,,83
74,28,A19C4VNUIIRCPD,1,101,1,101102,2,74,90,93,,63
75,30,A2E0FOTFTVWZ7T,1,103,3,103302,2,100,28,68,,34
76,30,A2E0FOTFTVWZ7T,1,103,3,103303,3,100,9,57,,35
77,28,A19C4VNUIIRCPD,1,101,1,101103,3,71,85,53,,59
78,28,A19C4VNUIIRCPD,1,102,3,102301,1,89,100,81,,40
79,30,A2E0FOTFTVWZ7T,1,102,2,102201,1,100,69,65,,58
80,28,A19C4VNUIIRCPD,1,102,3,102302,2,95,18,16,,24
81,31,A1I7XL4VK40KOD,1,102,1,102101,1,25,78,77,,101
82,28,A19C4VNUIIRCPD,1,102,3,102303,3,86,12,43,,29
83,30,A2E0FOTFTVWZ7T,1,102,2,102202,2,100,59,82,,86
84,28,A19C4VNUIIRCPD,1,103,2,103201,1,73,100,64,,82
85,30,A2E0FOTFTVWZ7T,1,102,2,102203,3,82,63,75,,73
