tb6id,uid,sid,topID,timeStart,timeEnd,timeStartStamp,timeEndStamp
1,1,A3JI3B5GTVA95F,1,1441385336,0,9/4/15 11:48,
2,4,A33QI63NVR8CUO,1,1441385906,0,9/4/15 11:58,
3,11,A21QMMJHOSG779,1,1441387895,0,9/4/15 12:31,
4,8,A2KITNCSG5SI5F,1,1441387997,0,9/4/15 12:33,
5,14,A361EVMLK9O0G1,1,1441388564,0,9/4/15 12:42,
6,18,A14WLAP6TCEKO0,1,1441390677,0,9/4/15 13:17,
7,19,A2IZV60GJFB7IB,1,1441391107,0,9/4/15 13:25,
8,20,A2K0EJWS4JV52T,1,1441391736,0,9/4/15 13:35,
9,22,A37S72JHDSZJY9,1,1441392011,0,9/4/15 13:40,
10,23,A90JBLDKW71DX,1,1441392307,0,9/4/15 13:45,
11,24,A9L9G563HS81X,1,1441392359,0,9/4/15 13:45,
12,25,A2RYN1S6OSO9KX,1,1441393326,0,9/4/15 14:02,
13,26,A2O5OJXCUFQ3FV,1,1441394296,0,9/4/15 14:18,
14,27,A14W0AXTJ3R19V,1,1441396155,0,9/4/15 14:49,
15,28,A19C4VNUIIRCPD,1,1441397292,0,9/4/15 15:08,
16,30,A2E0FOTFTVWZ7T,1,1441397317,0,9/4/15 15:08,
17,31,A1I7XL4VK40KOD,1,1441397502,0,9/4/15 15:11,
18,37,A3NGG3QTB0WINC,1,1441398441,0,9/4/15 15:27,
19,38,A1N54C8VTUX1CF,1,1441398875,0,9/4/15 15:34,
20,39,http://web.engr.illinois.edu/~cchin6/textsearch1/,1,1441400682,0,9/4/15 16:04,
21,41,AKM7BAAH9OPGW,1,1441402140,0,9/4/15 16:29,
22,45,A3GJ2E1A1H5DM7,1,1441402547,0,9/4/15 16:35,
23,48,A3VMCKYN22X0CO,1,1441403239,0,9/4/15 16:47,
24,51,A2FSO42T7M8MFY,1,1441404053,0,9/4/15 17:00,
25,54,A3GR2PCJPT0S6U,1,1441404266,0,9/4/15 17:04,
26,53,A1QOCQW43OSMD3,1,1441404369,0,9/4/15 17:06,
27,55,A26RO8GGTQAXGG,1,1441404413,0,9/4/15 17:06,
28,57,A6660NMTNCKCH,1,1441404475,0,9/4/15 17:07,
29,60,A22TE376N0MEH,1,1441405062,0,9/4/15 17:17,
30,62,A1OZPLHNIU1519,1,1441406115,0,9/4/15 17:35,
31,65,A128BUMKWWS54Z,1,1441406150,0,9/4/15 17:35,
32,68,A2QVJHKCKODQO6,1,1441406374,0,9/4/15 17:39,
33,67,A2H74STYH3PLT1,1,1441406463,0,9/4/15 17:41,
34,73,A27JZQQ5Y1I8RL,1,1441406670,0,9/4/15 17:44,
35,71,A8MBISMEGYCA4,1,1441406981,0,9/4/15 17:49,
36,74,A18WPTVQPM9LBH,1,1441407101,0,9/4/15 17:51,
37,80,A36DDHDQ56N60C,1,1441407631,0,9/4/15 18:00,
38,81,A66GVEZ7BBLH,1,1441407953,0,9/4/15 18:05,
39,82,A1LR1VZBKTV4Y1,1,1441408163,0,9/4/15 18:09,
40,78,A14HW0XMI4R2ON,1,1441409767,0,9/4/15 18:36,
41,86,A1U6A617Q95MTZ,1,1441409855,0,9/4/15 18:37,
42,87,A167SYXGXFU7C8,1,1441410533,0,9/4/15 18:48,
43,88,A3GWGTLQNHVQ2M,1,1441411214,0,9/4/15 19:00,
44,90,A35383F78OFV4B,1,1441411457,0,9/4/15 19:04,
