tb7id,uid,sid,topID,quesID,quesAns
1,4,A33QI63NVR8CUO,1,k1,"I have found that medical science has evolved a lot over the years. Many doctors have made excellent progress in helping people restore their site with cornea transplants and other medical problems. Many eye conditions can cause problems with vision and may even cause your cornea to become damaged. Like synthetic corneas, it can help with restoring site to some individuals. "
2,14,A361EVMLK9O0G1,1,k1,"Blood donations are important because many people rely on them. The plasma in your blood takes time to regenerate after giving a donation, up to a week to replace all the blood cells you lost. Bone grafts are used to repair or replace damaged bones, ligaments, etc. When the bone graft is taken from somewhere in the patients body is is called an autograft. Corneal transplants are regarding eyes surgery and replacements."
3,18,A14WLAP6TCEKO0,1,k1,"Donation of blood and other bodily components is a risky but sometimes necessary procedure. Blood transfusion can be given whole or in parts. For instance, the plasma can be filtered out of donated blood to get at the antibodies the blood possess. Bone can also be donation, thought this often comes from people already deceased. Even a part of the eye, the cornea, can be donated."
4,24,A9L9G563HS81X,1,k1,"I learned something about blood and blood donation.  I do not know very much about anatomy or medicine or health so this topic was slightly tough for me to read and understand.  It gave me some information about how transfusion can help patients who need the blood, and why they need the certain type of blood that they do in order to stay healthy."
5,23,A90JBLDKW71DX,1,k1,Corneal transplants are performed when one needs a new part of their eye that entails a cornea. The entire procedure is called a keratoplasty. The cornea is only nourished by absorbing oxygen because there are not any blood vessels in that part of the eye. People do not need to wait long for a cornea for transplant like other organs.
6,25,A2RYN1S6OSO9KX,1,k1,A bone graft is the transplant of bone tissue. Surgeons use it to rebuild diseased bones and tendons. Every years millions of people need products from blood transfusions because of a disease. People donate blood to be made into products to donate blood. There are different types of blood donations that vary in how the blood is obtained. Taking blood from a vein as whole blood in the most common way.
7,26,A2O5OJXCUFQ3FV,1,k1,Well i learned that bone grafts are bone transplants to help bones regrow and stabilize. There is also another form of graphing called autographing that uses non human bone but man made bone to replace the old bone. These procedures can leave some side effects such as discomfot or severe pain around the surgery spot. This is not most cases though.
8,28,A19C4VNUIIRCPD,1,k1,"There are several different types of donation and medical transplants. Cornea transplants are becoming easier to come by due to most of the donors being deceased. Blood transfusions are easy to come by as well, and large needles are used so as to avoid shearing of red blood cells. Finally, bone transplants are becoming more doable than ever. "
9,30,A2E0FOTFTVWZ7T,1,k1,"The cornea has three layers: epithelium, stroma, and endothelium. If someone has a cornea transplant not all layer may need to be replaced. Corneas are more likely to be donated! Smoking can cause nonunion of bones. Blood can be donated as a whole or can be separated. The four components of blood are the red and white blood cells, plasma and platelets. "
10,31,A1I7XL4VK40KOD,1,k1,"There are different types of medical transplants: Cornea transplants through the loss of a bad cornea, or loss of vision.  The blood donation takes a couple of ways to take blood from the body, one through a plastic bag and a little needle through an artery and the other through a machine (I can not remember the name) in which it separates the blood cells red and white from the blood donation.  The four types of blood are A, B, AB and O.  O is the universal donor, and AB is the universal opposite in that it can take all types of blood donations."
11,37,A3NGG3QTB0WINC,1,k1,"There are three major types of donations, blood, bone and cornea. Bone can involve either the bone itself or marrow, and can come from the individual, or another donor. Blood comes from a donor, and can be whole blood, or have just needed parts of it extracted. Cornea almost always come from deceased donors, and can be whole or layers. "
12,38,A1N54C8VTUX1CF,1,k1,"Blood can be separated using a special machine to make blood products from whole blood. Blood is taken from a vein. The four components of blood are: red blood cells, white blood cells, plasma and platelets. A healthy person can donate 1 pint of blood per visit. Platelets are used to control bleeding by improving clotting. Plasma fluid is comprised of 92% water. Plasma can be donated once per month."
13,39,http://web.engr.illinois.edu/~cchin6/textsearch1/,1,k1,"The main topic that I learned about was blood donation. I read articles discussing blood donations, and that there are different types of donation. Healthy adults can donate a pint of blood regularly, and everything that is taken is replaced within a week or two. Blood donation is a necessary service because millions of people need blood for medical reasons. What they need from the blood depends greatly on what is wrong with them. "
14,41,AKM7BAAH9OPGW,1,k1,"I learned about what kinds of procedures can be done, and what organs are needed. I learned a little about the process by which these organs are taken, and under what kinds of circumstances. I learned about the donation process and the bureaucracy behind it. I also learned about some of the benefits that are experienced by this system. It also included information about donor rights. "
15,48,A3VMCKYN22X0CO,1,k1,"Blood donation limits you to donate 1 pint. Whole blood will normally be replaced in your system in as little as 24 hours. A large needle is required to lessen damage to the red blood cells. Apheresis is also used to separate the bloods plasma, platelets and red blood cells. Corneal transplants procedures are known as keratplasty and helps you regain your focusing power"
16,51,A2FSO42T7M8MFY,1,k1,I LEARNED THAT YOU CAN GET A SUDDEN FEVER DURING OR WITHIN A DAY OF A BLOOD TRANSFUSION.  IT IS THE BODIES NORMAL RESPONSE TO THE WHITE BLOOD CELLS IN THE DONATED BLOOD.  AND THAT SOME BLOOD BANKS REMOVE THE WHITE BLOOD CELLS FROM THE WHOLE BLOOD.  IT MAKES IT LESS LIKELY THAT THE REACTION WILL HAPPEN IN DOING THIS.
17,54,A3GR2PCJPT0S6U,1,k1,i did not realize that bone transplants were so tedious. and that there were different types. I also did not know you could use different bones from various other types of bones to fix bones that are not the same bone that was damaged. In other words you can take bone from an arm and use it in a leg
18,53,A1QOCQW43OSMD3,1,k1,"Blood replaced 24 hours after donation. Healthy adults can donate a pint. Red blood has hemoglobin, a protien that carries oxygen to cells. Plasma is 55% of blood. Blood can be seperated into different parts and regular blood can be stored for 1 month.  Bone grafts can be taken from marrow or bone. Only living bone called ostoblasts can be transplanted. Corneal transplant can help pain and restore vision. People can donate part or all of cornea after death so it is more common than liver or kidney transplants. "
19,55,A26RO8GGTQAXGG,1,k1,"Bone grafts are helped to stabalize fractures or fix wear and tear. Bone can come from self or a donor. Small or large areas can be strengthened or repaired. Corneal transplants can be one 2 or 3 layers, and new methods are being developed all the time. More corneas are donated than other organ types like kidneys or liver so wait times are shorter."
20,65,A128BUMKWWS54Z,1,k1,"
I read articles from all three of the topics found under ""Donation and Medical Transplants"". I learned about bone transplants, and the two different types of bone grafts that occur. I also read about corneal transplants and the different methods and types of transplants that occur. Finally I read about blood donations and the various methods and types of donations that make up that area."
21,68,A2QVJHKCKODQO6,1,k1,I learned a lot about blood donations.  Blood has four components.There are different ways of taking the collecting the blood from a donor depending on if whole blood or one or more component is needed. Apheresis is the technique that is used to get one component at a time.  This process takes a varying amount of time depending on what is being collected.  
22,67,A2H74STYH3PLT1,1,k1,"there are three blood types,a,b, and o. those with ab can receive any donated blood and those with o can be given to anyone. blood banks screen the blood, separate it into components and freeze it for later use. bone grafting is using donated bone from a deceased person or donor or using bone from another part of your own body. grafting bone strengthens existing bone tissue to help with chronic pain and new health bone growth. corneal transplants may be done with the entire cornea being replaces or one of the three layers of the cornea. the cornea is donated from deceased peoples"
23,71,A8MBISMEGYCA4,1,k1,"The blood is usually stored in a flexible plastic bag The body replaces the lost fluids within 24 hoursMillions of people need blood transfusions or blood products each year because of surgery or disease.The process for whole blood donation usually takes about one hour with the collection itself usually lasting only about 10 minutes.A cornea transplant is a surgical procedure to replace part of your cornea with tissue from a donor. The procedure is also called a keratoplasty. The cornea is the transparent, dome-shaped surface of your eye.10 percent of people with keratoconus also have a family member with the condition.A bone graft is the transplant of bone tissue.Tissue banks carefully screen the medical histories of the donors and freeze the donated bones.The potential drawbacks of the surgical procedure include chronic pain from the surgical site"
24,73,A27JZQQ5Y1I8RL,1,k1,"A person can donate blood if they are over 110 pounds. Blood can be washed down to retrieve different components from the blood. red blood cells, white blood cells and platelets. They use a larger needle to keep the vein open for the flow of blood. After someone has donated it takes twenty four hours to recoup it in the body. transplants from bone are very successful. Either from man made or retrieved from someones body.  "
25,74,A18WPTVQPM9LBH,1,k1,"Bone grafts are used to fix injuries and to replace lost bone due to cancer.  Allografts are from donors and autografts are self donated.  There can be continuing pain as a result of bone grafts.  Cornea transplants are becoming more common as more people identify themselves as donors.  There are three layers to the cornea and there is not blood running through the cornea.  The cornea is nourished by the air.  Blood donations are important for injuries and surgeries.  There are different types of blood as well as RH factors that must be known so the patient gets the right type of blood.  Receiving the wrong blood type has many consequences , up to and including death."
26,80,A36DDHDQ56N60C,1,k1,"I learned that the types of organs and tissues that can be transplanted are bone, blood and corneas (certainly among others). All types of transplants carry certain risks, among the risks are rejection of the donated tissue and introduction of foreign diseases into the body. Transplants can also be made from synthetic material if donor tissues are not so available. "
27,81,A66GVEZ7BBLH,1,k1,"human blood has several types: A, B, AB or O. The blood transfusion has to match the blood type. The donator for blood has a limitation. Pregnant woman, people under 16 or 17 years old, people lighter than 110 pounds may not be able to donate blood. The blood bank need to test the blood for HIV or hepatitis viruses. Some ingredients may be removed before transfusion.  "
28,82,A1LR1VZBKTV4Y1,1,k1,"There are 3 layers to the cornea. Blood transfusion is done with a large scale needle so that the cells arent damaged. Bone grafts have 2 different names, whether they come from the person who needs it, or from another donor. There are different surgeries on the eye, depending on which layer of the cornea needs the work, and an air bubble is used to push cells to the innermost layer of the cornea."
29,87,A167SYXGXFU7C8,1,k1,"I learned about bone grafts, corneal transplants and blood donation. Bone and corneal material is largely from cadavers. But bone can also be autolugos(sp?). Blood donations can be given to patients in the form of whole blood, or cells(rbc,wbc,platelets) or just plasma. Corneal transplant can take a long time to heal and sutures are used and so is a bubble. "
30,88,A3GWGTLQNHVQ2M,1,k1,"I learned quite a bit about donation and medical transplants.  First, there is blood transfusions- which are donated.  Then there are cornea transplants.  This is technically dontated- however it is from deceased people. So it is from an organ donor.  Then there is skin grafts. Some are donated from deceased people. You also can take your own healthy skin and donate it to yourself from other areas of your body. "
31,78,A14HW0XMI4R2ON,1,k1," A corneal transplant is a somewhat common procedure where the thin,dome shaped part of the eye,the cornea, is either partially or completely removed and then replaced with a healthy donor cornea. Bone grafts are used to repair and rebuild diseased bone, tendon and cartilidge in the knees hips and spine. The bone material can come either from the patient, a donor or a sythestic material. Blood transfusion starts at a blood bank where whole blood is collected from donors to be used in transfusions and blood products such as plasma."
32,91,A1VJAEPNA6YARO,1,k1,"  Blood donation is something that people volunteer for to help people who need blood.  The most common way is to take it from the vein as whole blood.  The blood is then stored in blood banks, where it will have heparin put into it to keep it good for a long time.  People have different types of blood, and people with type O can donate to anyone."
33,92,A77K8W55MJEKX,1,k1,Blood donation is a way in which a person agrees to give his or her drawn to another person in need of blood. Many people need blood transfusions due to medical conditions. Healthy people who are older than 18 can donate up to a pint of blood without risking their health. Human body can replace the lost fluids within 24 hours to recover after blood donation. The RBCs may take up to several weeks to regain count again. 
34,94,A98XHW6B1VSSQ,1,k1,"I mostly read about blood donation and blood transplants. there are 4 different blood types. A, B, AB and O. Different parts of the world have larger amounts of different blood types. People who donate blood have requirements based on age and weight. You have to be at least 110 pounds there are maximum weight requirement except in regard to the chair being able to hold the weight of the person donating.  "
35,93,A1O67YS3DU0ZHX,1,k1,"There are various ways doctors and surgeons have to help those who are in need of donations and transplants. One of the most common ways is through a blood donation. Most healthy people can donate blood with no problem, and their fluids will be replaced within 24 hours, with the red blood cells being replaced after a few weeks. Bone grafts can be performed to help a variety of conditions, from repairing and rebuilding disease, to alleviating pain. Transplants can either come from the patient themselves, or from another donor. Another procedure is corneal transplants, with most corneas coming from decased donors. "
36,98,A3UOH4UMWWV216,1,k1,it was interesting
37,99,A224B7BAQ0MZSN,1,k1,"Cornea transplants are surgeries to replace the domed, transparent part of the eye.  It can include one or all three layers.  Blood donation is carefully screened for health.  Blood has different types, uses, and donation procedures.  Bone transplants are grafts to replace or strengthen broken and diseased bone.  There are different kinds and there is a risk of pain afterwards."
38,102,A2C39KTRMOM1XZ,1,k1,a bone graft transplants bone tissue to repair damage rom an accident or disease if it is from a donor it is called an alliograft it comes from a desceased donor. if it comes from the patient themselves it is called an autograft could be side effects of bain from incision site or rejection of donor tissue.
39,106,ATADQXPHL10Y8,1,k1,"Reading the articles pertaining to donation and medical transplants, it can be deduced that through various medical procedures, the way of life for many human beings can be vastly improved. Whether using skin grafting or corneal intrusions, science has developed ways of using our own body to regenerate and restore or alleviate chronic pain in individuals who may never have known there was a way out."
