tb8id,uid,sid,topID,quesID,quesAns
1,4,A33QI63NVR8CUO,1,k2,I believe that the information I learned is very interesting and is very helpful to others.
2,14,A361EVMLK9O0G1,1,k2,"blood donations
regeneration time
eye surgery
where bone is taken for grafts
"
3,18,A14WLAP6TCEKO0,1,k2,"Blood can be filtered so that only certain component of it can be collected. 
Bone grafts are used to help the body grow new bone tissue.
The cornea has three different layers"
4,24,A9L9G563HS81X,1,k2,"Transfusion, blood donation"
5,23,A90JBLDKW71DX,1,k2,"People tend to donate their corneas more readily than any other organ, so people waiting for a corneal transplant usually do not have a long wait. The cornea is nourished by oxygen from tears instead of blood."
6,26,A2O5OJXCUFQ3FV,1,k2,"Bone graghs are safe and pretty cool science 
also donations help extremely.
people can also donate blood or bone"
7,28,A19C4VNUIIRCPD,1,k2,"Bone Grafts can come from human beings or be man-made.  Bloody can be taken from different methods, such as through a needle and bag or through an actual machine. Processes for corneal transplants vary depending on the depth of the damage. "
8,30,A2E0FOTFTVWZ7T,1,k2,"plasma carries the antibodies
corneas are donated with more frequency than kidneys or some other organs
cornea has 3 layers epithelium, stroma, and endothelium
one pint of blood is taken in donation
4 components of blood are red blood cells, white blood cells, plasma, and platelets
allograft-from another autograft-from self
"
9,31,A1I7XL4VK40KOD,1,k2,"The different types of blood and the 2 types of blood donation techniques.  It is very interesting to think that a healty human can donate 1 pint of blood, and the body will make this blood within 24 hours and a week to replace the white blood cells."
10,37,A3NGG3QTB0WINC,1,k2,"Bone graft: used to replace, strengthen or reduce pain. Risk of problems with the body rejecting the bone, or with infection in the cut area. Marrow from bones can be drawn and help reduce rejection.

Blood donation: Can be whole blood, or parts of the blood. Can be drawn and stored for long periods of time. Drawn with a large needle. Parts of the blood, such as plasma, can be extracted.

Corneal: The dome portion of the eye. No blood vessels, moisturized by drawing oxygen from tears. The whole cornea or up to three layers can be transplanted. Transplants usually come from dead donors. 

"
11,39,http://web.engr.illinois.edu/~cchin6/textsearch1/,1,k2,I learned that fluids are replenished in your body in about 24 hours after donating blood. I also learned about the different types of collecting blood and the different ways that it is done. I also learned that blood is drawn from veins with a large needle. It is stored in a flexible plastic bag. 
12,51,A2FSO42T7M8MFY,1,k2,THAT YOU CAN GET IRON OVERLOAD FROM A BLOOD TRANSFUSION.
13,54,A3GR2PCJPT0S6U,1,k2,using bones from other types of bones to fix the bone
14,55,A26RO8GGTQAXGG,1,k2,Blood donation is from living donors and can be whole blood or components. Adults recover quickly after donation.
15,60,A22TE376N0MEH,1,k2,"Bone graft from another person is called allograft. Bone from another part of your body is called autograft. There are two different ways blood can be collected for transfusion: whole blood, or it can be separated into four different parts: red blood cells, white blood cells, platelets, and plasma. A person can donate a pint of blood every 8 weeks safely. Coreal transplants are among the most common transplants completed and someone in need of a corneal transplant will generally have a short wait time."
16,68,A2QVJHKCKODQO6,1,k2,Each component of blood has a different functions.  Platelets help the clotting process. Red blood cells carry oxygen throughout the body.  White blood cells fight infections.  Plasma is the liquid part of blood and contains antibodies.
17,67,A2H74STYH3PLT1,1,k2,"bone grafting is from another part of your own body or donated and taken from deceased bodies. blood donation is safe for those over 110 pounds and is valuable for people undergoing surgery, low blood counts or blood loss. cornea transplants are commonly donated from deceased people and can greatly aid those with damaged corneas"
18,71,A8MBISMEGYCA4,1,k2,"The blood is usually stored in a flexible plastic bag The body replaces the lost fluids within 24 hoursMillions of people need blood transfusions or blood products each year because of surgery or disease.The process for whole blood donation usually takes about one hour with the collection itself usually lasting only about 10 minutes.A cornea transplant is a surgical procedure to replace part of your cornea with tissue from a donor. The procedure is also called a keratoplasty. The cornea is the transparent, dome-shaped surface of your eye.10 percent of people with keratoconus also have a family member with the condition.A bone graft is the transplant of bone tissue.Tissue banks carefully screen the medical histories of the donors and freeze the donated bones.The potential drawbacks of the surgical procedure include chronic pain from the surgical site"
19,73,A27JZQQ5Y1I8RL,1,k2,"Its good to donate blood, blood can be stored for a very long time. Bone graft is becoming far more advanced with minimal pain and scaring."
20,74,A18WPTVQPM9LBH,1,k2,"bone grafts can be from yourself or an outside donor
cancer patients, sports figures and injured individuals all benefit from bone grafts
Allografts are from outside donors and run the risk of rejection.  Autografts are from your own bones, generally from the hip and have less a chance of rejection.
Cornea transplants are becoming more common as more people become donors.
There are three layers to the cornea.
The cornea receives nothing from the blood stream
Blood donations are important for the survival of surgery patients and accident victims.
There are different types of blood and Rh factors
A healthy adult may give one pint a time.
Pregant women should not give blood.
People exposed to Mad Cow disease can not give blood."
21,80,A36DDHDQ56N60C,1,k2,"In blood donation, a large needle must be used to avoid damage to the blood vessel. Within 24 hours, a healthy adult can fully recover from donating a pint of blood (the safest limit). Bone grafts are always taken from the deceased and grafted into healthy recipients who need them. Corneas are also among the most donated types of tissues, so there are rarely shortages, but in case, synthetic corneas that are fully identical to 100% organic ones can be made. These synthetic corneas produce tears and respond to touch. "
22,81,A66GVEZ7BBLH,1,k2,"Bone graft can have allegraft or autograft.
Blood have different types.
Blood needs t be tested before donation."
23,82,A1LR1VZBKTV4Y1,1,k2,"Air bubble for inner corneal surgery. Bone grafts for over 12 inches of bone. People regenerate a pint of blood in a day, and the red cells in 2 weeks."
24,86,A1U6A617Q95MTZ,1,k2,"Bone grafts can be used to help with cancer, tumors or more basic bone strengthening or to help heal fractures. The procedure to prepare donated bone, which if not from the patient themselves, usually comes from dead bodies, is called processing. Processing bones helps insure there is no contamination or infection. People with a history of cancer cannot donate bone. Millions of people need and receive blood transfusions."
25,90,A35383F78OFV4B,1,k2,"Cornea transplants.
Grafts from the patient.
Grafts from a donor.
Different components of blood."
26,87,A167SYXGXFU7C8,1,k2,"more people are willing to donate their corneas so people dont have to wait long times for them
cornea and bone is usually obtained from cadavers
the cornea has 3 layers
after a transplant, sutures are usually used but they can use a ""bubble"" of air to stabilize as well
bone grafts can be lengths of bone, or the ""tissue""(cells?) surrounding the bone or the marrow from inside the bone.
marrow can be obtained using a needle(requiring no surgery)or can be obtained from the recipients body in an area such as the hips
the first layer of the cornea is used for protection, to focus light and something else
the middle layer is 90% of the total cornea, and secretes fluid for lubrication, and O2 to feed it. there are no blood vessels in the cornea"
27,92,A77K8W55MJEKX,1,k2,"A bone graft is a process of transplanting bone tissue. Surgeons use this technique to help rebuild diseased bones, especially those that are damaged after injuries or accidents. "
28,94,A98XHW6B1VSSQ,1,k2,"Blood types are A, B, AB, and O
You must weigh at least 110 pounds
You must be at least 17 years old
Blood is run through tests to make sure it is safe
Blood is stored in plastic bags
Blood has white blood cells removed
It takes 24 hours for the body to replenish the blood taken
It takes longer for the body to replenish the cells taken by the blood removed.
Pregnant women can not give blood during pregnancy 
Pregnant women can not give blood for 6 weeks following giving birth. 
  "
29,93,A1O67YS3DU0ZHX,1,k2,"Healthy people can donate blood with no problem, usually. There are different ways to donate, the most common being taking blood from a vein. Bone grafts can come from the patient needing the graft themselves, from other people, or even from man-made materials. There are sometimes complications though, including pain and rejection of the graft. Corneal donors are becoming more common, as opposed to donors of other organs."
30,98,A3UOH4UMWWV216,1,k2,no ideas
31,102,A2C39KTRMOM1XZ,1,k2,blood donation is from a person it takes about an hour and a large needle is used to decrease damage to the red blood cells. blood can be seperated into plasma or platelletes or the red blood cells the body replaces the blood in 24 hours. A cornea transplant is when the dome shaped surface of the eye is replaced. The donor replacement is called a Keratoplothy the cornea has three diffrent layers epitlirm the endotelium and the storma. a bone graft is when donor ligaments can be used to strengthen the ligaments of a person who has had an accident or a disease generally used in the knee or hip
32,106,ATADQXPHL10Y8,1,k2,I did not learn any ideas as these were articles rooted in fact .
33,108,A2L9O81ACCOLMX,1,k2,"Blood is restored within one day to several weeks of giving a donation. 
"
34,114,A2698HJZM7SE4C,1,k2,Bone grafts can be taken from bone tissue which is transplanted from another site on your own body or from another persons bone.  Blood Donations need to be filtered and an adult human can donate up to 1 pint of blood.  Corneal Transplants are fairly common and easy to get.
35,121,A3BHRFFG75X3GO,1,k2,"cornea has three layers: endothelium, stroma epithelium.
cornea has no blood vessels and gets oxygen from your tears.
cornea transplant is easier to get than kidney or liver tranplant due to cornea transplants after someone dies.

autograft is a bone transplant where the bone comes from another place in your body. allograft is when the bone is from someone else.
people who break bones or have surgery for tumor removal get bone grafts. the autograft has less chance that the body rejects the transplant.

blood donation uses a needle to get your blood and store it in a plastic bag. The facility tests the blood from infection.
People with disease cannot donate blood. Some disease are HIV and mad cow disease and Jacob-Kreutzfeld disease.
blood banks use anticlotting techniques to prevent blood from clotting."
36,125,A2WYXS94418JXA,1,k2,"Bone graft are transplants of bone tissue. 
Bone grafts repair and rebuild diseased or damaged tendons, bones,and cartilage in body parts. 
Bone grafts help the bone to rebuild itself. 
Allografts are transplants from a dead person. 
Chronic pain can be the result of a bone graft or allograft.
900,000 allografts are done each year.
Volunteers donate blood.
Blood is used for transfusions or used to be separated into parts used to make blood products.  
Long needles are used to lessen the damage to red blood cells.
Blood is stored in a plastic bag.
Donators usually donate a pint of blood, which is not risky.
When someone donates blood it usually takes 24 hours for their body to replace the blood.
The risk of catching HIV or other diseases is rare due to the screening process of the blood bank.  
Cornea transplants are also called keratoplasty.
There is not usually a long wait for those in need of a cornea transplant. 
The cornea helps you focus.
Corneas absorb oxygen from tears."
37,131,A2AW0DEZLCZ23N,1,k2,"Cornea comes to die people.
Cornea has three layers.
bone graft is the transplant of bone tissue.
Graft is used to repair bones, tendons."
38,132,A37N5X89RE99B0,1,k2,"Blood transfusions can save lives, and luckily there are quick and safe ways of doing so.

The two types of Bone grafting have their pros and cons, but man-made bone replacements can cause issues as well. I would rather have autografting performed if my body can withstand 2 surgeries. 

Cornea transplants sound gross and very challenging to perform. "
39,136,A32ZPYIWFEUCDX,1,k2,"Bone Graft: mostly for healing bones. 
Donation sight usually pelvic region.

Cornea: is the clear covering of the eye.
Has no blood vessels.
has three layers.
Gets oxygen from tears.

Blood can be:
Whole
red cells
platelets
plasma"
40,140,A3S5QDW6OU35NH,1,k2,"Corneal transplant patients do not wait on a long list before receiving transplants as corneal tissue is a popular option for people willing to donate tissue. 

Blood donations use larger needles during the blood draw to reduce damage to red blood cells. 

Adults replace the fluid lost in blood donation within a few hours, and blood cells within a few weeks. 

There is a difference between whole blood donations and a type of donation that allows specific blood substances like plasma or red blood cells to be separated out. "
41,144,A179EXKWCPDVJY,1,k2,"Corneal transplants can help with vision in the case of a damaged cornea. I am especially interested in this type of operation since I myself have a damaged cornea which could be improved by this type of surgery. I am glad do many people are willing to donate their corneas upon their passing away. I have many ideas about donating different body parts and fluids, including corneas and blood. The more the public becomes aware how they can help others with the donations of their body parts the better our future generations will be due to the end of their suffering."
42,147,A3MIIUL4O2DPY7,1,k2,"Bone grafts come in two forms, allograph and autograph. Autograph is where you donate bone to yourself."
43,148,A14NP6X071S7GK,1,k2,I thought it was crazy someone actually discovered that you can replace a tiny thin film on your eye. It makes me think people are weird and crazy. The bone thing is crazy too like who comes up with this stuff
44,149,AMQ2SGE3VBIYA,1,k2,"The cornea is made up of three layers, the epiphilium, stroma, and endophilium. The layers can be replaced separately in lamellar transplantation, or the entire cornea can be replaced if needed. Bone grafts are sometimes done with a man made bone replacement product. Osteoblasts and osteoplasts, cells which replace bone, must often be replaced in the area to be transplanted. Blood donation is done with a large needle to minimize the sheering forces experienced by blood cells as they pass through it, in order to reduce damage to the cells."
45,152,A14OUWUVFGIIUM,1,k2,"Donors are carefully processed for allografts, people with cancer cannot donate.
The procedure to donate the bone is called processing.
Over 900,000 allografts are processed each year.
Most allografts come from the deceased who died very suddenly or were killed in accidents.
Autografts come from within the patient, and come from non essential bones such as the hip but never the knees or spine.
Block grafts are grafts of larger areas on the body.
Autografts have a lower risk of infection/rejection because it is natural to the recipient. "
46,166,A30F1XBP254OTI,1,k2,"bone graft can come from others or your own body it is called autographing, blood donation comesin many forms such as straight blood draw or plasma pherisis, corneal transplants come from dead people and can take weeks to a year to fully heal. a corneal implant is an outpatient procedure."
47,167,A3J9EHZQ9PERAX,1,k2,"After a blood donation, the body replaces the lost fluids within 24 hours. 
The storage of whole blood can be kept up to 30 days. 
A cornea transplant is getting a cornea from a donor and surgically implanting it in the patient. Most corneas used in transplantation are from deceased donors. 
A bone graft is the transplantation of bone from a donor. Bone grafts are used to repair diseased bones.  "
48,176,A2JSQET9OQ9PDM,1,k2,Everything that I can think of was explained in the section just previous to this one. Thanks.
49,182,A1B4227M08K866,1,k2,"A needle is used to take blood.  They also sanitize the top of the skin where the needle will be placed to stop the spread of infection. After donating, the body replaces fluids within 48 hours. Donating is a great way to help people who are fighting a disease or simply had an accident.  Plasma makes up 55% of the blood volume.  People can feel dehydrated.  Blood is made of 92% water."
50,188,A1HFML4SFJP7W7,1,k2,I learned that certain patients need certain parts of the blood for various reasons.  I had no idea that sometimes blood is returned back into the donors body.  I also learned there are variances in the length of storage and some blood is frozen.
51,187,A2LKGMMTO4DC4Z,1,k2,"bone graft- live donors spinal pain
blood donation- platelets
cornea- eyes

"
52,190,A1HC2VB14J5KIB,1,k2,bone graft some times has side effects. they are chronic pair where surgical transplant.the three layer of cornea transplant called penetrating cornea transplanting and some of the layer transplantation called lamellar cornea transplantation. blood can saved in plastic flexible bag. the all blood p[arts can be used.
53,195,ABUXM7VAW5SKJ,1,k2,"     There are some potential drawbacks of bone graft surgeries, such as the risk of chronic pain from the surgical site, or occasionally rejection of transplants. To insert the bone graft, the physician usually makes a deep cut into the bone. Therefore, sometimes the nerves maybe inadvertently cut and result in pain after the surgery. The body replaces the lost fluids within 24 hours of a blood donation, and the lost red blood cells within several weeks. Whether the corneal transplant involves a penetrating or lamellar procedure, it is often done on an outpatient basis in which patients enter the hospital a few hours prior to surgery and leave that same day. Patients generally leave the hospital a few hours after the surgery. Local or general anesthesia can be used for this procedure to reduce pain."
54,186,A1REWUVT3N8SN7,1,k2,"Corneal Transplants - Help people who damage of the layers in their eyes.  There are two kinds of transplants available depending on the severity of the eye damage.

Bone Graft - used to heal bone fractures from falls."
55,194,A1D0PHYBW2QXXF,1,k2,Different parts of dead bodies can be used for bone grafts and corneal transplants. Blood comes from living persons. It is all so helpful to people who need these things.
56,199,A20NDRGSZZRQF,1,k2,SOME PEOPLE ARE TOO SICK TO DONATE....
57,193,A2ARHK50FQ79YC,1,k2,"-A bone graft is a transplant of live bone tissue
-Corneal transplants typically come from deceased donors
-Blood donation may be through needle or apharesis
-Bone grafts may benefit those with weakened bones or persons suffering from chronic disease
-Blood donation may be in the form of red blood cells, white blood cells, platelets or plasma
-There are three levels of the cornea
"
