tb9id,uid,sid,topID,quesID,quesAns,bonusWord,bonusWordCnt,bonusMoney
1,1,A3JI3B5GTVA95F,1,k2,,,0,0.00
2,4,A33QI63NVR8CUO,1,k2,I believe that the information I learned is very interesting and is very helpful to others.,others,1,0.05
3,8,A2KITNCSG5SI5F,1,k2,,,0,0.00
4,14,A361EVMLK9O0G1,1,k2,"blood donations
regeneration time
eye surgery
where bone is taken for grafts
",blood donations regeneration time eye surgery bone,7,0.35
5,18,A14WLAP6TCEKO0,1,k2,"Blood can be filtered so that only certain component of it can be collected. 
Bone grafts are used to help the body grow new bone tissue.
The cornea has three different layers",blood component bone body bone tissue cornea layers,8,0.40
6,24,A9L9G563HS81X,1,k2,"Transfusion, blood donation",transfusion blood donation,3,0.15
7,20,A2K0EJWS4JV52T,1,k2,,,0,0.00
8,23,A90JBLDKW71DX,1,k2,"People tend to donate their corneas more readily than any other organ, so people waiting for a corneal transplant usually do not have a long wait. The cornea is nourished by oxygen from tears instead of blood.",people corneas organ people transplant cornea oxygen tears blood,9,0.45
9,25,A2RYN1S6OSO9KX,1,k2,,,0,0.00
10,26,A2O5OJXCUFQ3FV,1,k2,"Bone graghs are safe and pretty cool science 
also donations help extremely.
people can also donate blood or bone",bone donations people blood bone,5,0.25
11,28,A19C4VNUIIRCPD,1,k2,"Bone Grafts can come from human beings or be man-made.  Bloody can be taken from different methods, such as through a needle and bag or through an actual machine. Processes for corneal transplants vary depending on the depth of the damage. ",bone methods needle bag machine processes transplants damage,8,0.40
12,30,A2E0FOTFTVWZ7T,1,k2,"plasma carries the antibodies
corneas are donated with more frequency than kidneys or some other organs
cornea has 3 layers epithelium, stroma, and endothelium
one pint of blood is taken in donation
4 components of blood are red blood cells, white blood cells, plasma, and platelets
allograft-from another autograft-from self
",plasma antibodies corneas frequency kidneys organs cornea layers epithelium stroma endothelium pint blood donation components blood blood cells blood cells plasma platelets,22,1.10
13,31,A1I7XL4VK40KOD,1,k2,"The different types of blood and the 2 types of blood donation techniques.  It is very interesting to think that a healty human can donate 1 pint of blood, and the body will make this blood within 24 hours and a week to replace the white blood cells.",types blood types blood donation techniques pint blood body blood hours blood cells,13,0.65
14,37,A3NGG3QTB0WINC,1,k2,"Bone graft: used to replace, strengthen or reduce pain. Risk of problems with the body rejecting the bone, or with infection in the cut area. Marrow from bones can be drawn and help reduce rejection.

Blood donation: Can be whole blood, or parts of the blood. Can be drawn and stored for long periods of time. Drawn with a large needle. Parts of the blood, such as plasma, can be extracted.

Corneal: The dome portion of the eye. No blood vessels, moisturized by drawing oxygen from tears. The whole cornea or up to three layers can be transplanted. Transplants usually come from dead donors. 

",bone graft pain risk problems body bone infection area marrow bones rejection blood donation blood parts blood time needle parts blood plasma portion eye blood vessels oxygen tears cornea layers transplants donors,32,1.60
15,38,A1N54C8VTUX1CF,1,k2,,,0,0.00
16,39,http://web.engr.illinois.edu/~cchin6/textsearch1/,1,k2,I learned that fluids are replenished in your body in about 24 hours after donating blood. I also learned about the different types of collecting blood and the different ways that it is done. I also learned that blood is drawn from veins with a large needle. It is stored in a flexible plastic bag. ,fluids body hours blood types blood ways blood veins needle plastic bag,12,0.60
17,41,AKM7BAAH9OPGW,1,k2,,,0,0.00
18,48,A3VMCKYN22X0CO,1,k2,,,0,0.00
19,51,A2FSO42T7M8MFY,1,k2,THAT YOU CAN GET IRON OVERLOAD FROM A BLOOD TRANSFUSION.,iron blood transfusion,3,0.15
20,54,A3GR2PCJPT0S6U,1,k2,using bones from other types of bones to fix the bone,bones types bones bone,4,0.20
21,57,A6660NMTNCKCH,1,k2,,,0,0.00
22,55,A26RO8GGTQAXGG,1,k2,Blood donation is from living donors and can be whole blood or components. Adults recover quickly after donation.,blood donation donors blood components adults donation,7,0.35
23,53,A1QOCQW43OSMD3,1,k2,,,0,0.00
24,60,A22TE376N0MEH,1,k2,"Bone graft from another person is called allograft. Bone from another part of your body is called autograft. There are two different ways blood can be collected for transfusion: whole blood, or it can be separated into four different parts: red blood cells, white blood cells, platelets, and plasma. A person can donate a pint of blood every 8 weeks safely. Coreal transplants are among the most common transplants completed and someone in need of a corneal transplant will generally have a short wait time.",bone graft person allograft bone part body autograft ways blood transfusion blood parts blood cells blood cells platelets plasma person pint blood weeks transplants transplants someone need transplant time,29,1.45
25,65,A128BUMKWWS54Z,1,k2,,,0,0.00
26,68,A2QVJHKCKODQO6,1,k2,Each component of blood has a different functions.  Platelets help the clotting process. Red blood cells carry oxygen throughout the body.  White blood cells fight infections.  Plasma is the liquid part of blood and contains antibodies.,component blood functions platelets process blood cells oxygen body blood cells infections plasma part blood antibodies,16,0.80
27,67,A2H74STYH3PLT1,1,k2,"bone grafting is from another part of your own body or donated and taken from deceased bodies. blood donation is safe for those over 110 pounds and is valuable for people undergoing surgery, low blood counts or blood loss. cornea transplants are commonly donated from deceased people and can greatly aid those with damaged corneas",bone part body bodies blood donation pounds people surgery blood blood loss cornea transplants people aid corneas,17,0.85
28,71,A8MBISMEGYCA4,1,k2,"The blood is usually stored in a flexible plastic bag The body replaces the lost fluids within 24 hoursMillions of people need blood transfusions or blood products each year because of surgery or disease.The process for whole blood donation usually takes about one hour with the collection itself usually lasting only about 10 minutes.A cornea transplant is a surgical procedure to replace part of your cornea with tissue from a donor. The procedure is also called a keratoplasty. The cornea is the transparent, dome-shaped surface of your eye.10 percent of people with keratoconus also have a family member with the condition.A bone graft is the transplant of bone tissue.Tissue banks carefully screen the medical histories of the donors and freeze the donated bones.The potential drawbacks of the surgical procedure include chronic pain from the surgical site",blood plastic bag body fluids people need blood transfusions blood products year surgery process blood donation hour collection cornea transplant procedure part cornea tissue donor procedure keratoplasty cornea surface percent people family member bone graft transplant bone banks screen histories donors freeze drawbacks procedure pain site,46,2.30
29,73,A27JZQQ5Y1I8RL,1,k2,"Its good to donate blood, blood can be stored for a very long time. Bone graft is becoming far more advanced with minimal pain and scaring.",blood blood time bone graft pain,6,0.30
30,74,A18WPTVQPM9LBH,1,k2,"bone grafts can be from yourself or an outside donor
cancer patients, sports figures and injured individuals all benefit from bone grafts
Allografts are from outside donors and run the risk of rejection.  Autografts are from your own bones, generally from the hip and have less a chance of rejection.
Cornea transplants are becoming more common as more people become donors.
There are three layers to the cornea.
The cornea receives nothing from the blood stream
Blood donations are important for the survival of surgery patients and accident victims.
There are different types of blood and Rh factors
A healthy adult may give one pint a time.
Pregant women should not give blood.
People exposed to Mad Cow disease can not give blood.",bone donor cancer patients individuals benefit bone donors risk rejection bones hip chance rejection cornea transplants people donors layers cornea cornea blood blood donations surgery patients accident types blood factors pint time women blood people cow disease blood,38,1.90
31,80,A36DDHDQ56N60C,1,k2,"In blood donation, a large needle must be used to avoid damage to the blood vessel. Within 24 hours, a healthy adult can fully recover from donating a pint of blood (the safest limit). Bone grafts are always taken from the deceased and grafted into healthy recipients who need them. Corneas are also among the most donated types of tissues, so there are rarely shortages, but in case, synthetic corneas that are fully identical to 100% organic ones can be made. These synthetic corneas produce tears and respond to touch. ",blood donation needle damage blood vessel hours pint blood limit bone recipients need corneas types tissues case corneas ones corneas tears touch,22,1.10
32,81,A66GVEZ7BBLH,1,k2,"Bone graft can have allegraft or autograft.
Blood have different types.
Blood needs t be tested before donation.",bone graft autograft blood types blood donation,7,0.35
